LIAI,FIL,DESIGNATION,COUL,REP1,REP2,TYPE,LONG,OPTION,REF CON1,CODE APP.1,ALV1,NUM FAB.1,POS1,EXT1,REF JOINT1,REF CON2,CODE APP.2,ALV2,NUM FAB.2,POS2,EXT2,REF JOINT2
"112B","0525","INT_STP&STRT","BR/W","","","NEWA3Z-0.35","1085","XUCEH2&&STOSTA","8200959948","2099AA","7","144","5E","8200176508","","8200405652","645AB","25","093","9C","8200176508",""
"112C","0526","INT_STP&STRT","Y/W","","","NEWA3Z-0.35","1080","XUCEH2&&STOSTA","8200959948","2099AA","4","144","5E","8200176508","","8200405652","645AB","33","093","9C","8200176508",""
"133B","0014","SGN CANH T/B / UCE","GY","","CBL$6943","ACOR2Z-0.35","345","XUCEH2&&DA","8200308246","645AA","24","092","8B","8200176508","","4501020609","E133B-A","L","E-01","7D","*EPISSURE*",""
"133B","0016","SGN CANH T/B / UCE","GY/W","","CBL$5064","NEWA3Z-0.35","730","XUCEH2&&AIRBA2","8200721409","756AA","26","101","2F","243469535R","","4501020609","E133B-B","L","E-02","3F","*EPISSURE*",""
"133B","0018","SGN CANH T/B / UCE","GY/W","","CBL$5319","NEWA3Z-0.35","905","XUCEH2","7703297647","225AA","6","064","6J","7703497696","","4501020609","E133B-C","R","E-03","8H","*EPISSURE*",""
"133B","0019","SGN CANH T/B / UCE","GY/W","","CBL$5237","NEWA3Z-0.35","665","XUCEH2&&DA","4501020609","E133B-A","R","E-01","7D","*EPISSURE*","","4501020609","E133B-C","L","E-03","8H","*EPISSURE*",""
"133B","0020","SGN CANH T/B / UCE","GY/W","","CBL$5425","NEWA3Z-0.35","1695","XUCEH2","4501020609","E133B-B","R","E-02","3F","*EPISSURE*","","4501020609","E133B-C","L","E-03","8H","*EPISSURE*",""
"133B","0453","SGN CANH T/B / UCE","GY","","CBL$6031","ACOR2Z-0.35","1920","XUCEH2&&PHAS2","8200489954","247AA","18","131","6E","8200176508","","4501020609","E133B-B","R","E-02","3F","*EPISSURE*",""
"133B","0573","SGN CANH T/B / UCE","GY","","CBL$3785","ACOR2Z-0.35","845","XUCEH2&&DA&&PHAS2","243409651R","1232AB","2","151","4F","7703497454","","4501020609","E133B-A","R","E-01","7D","*EPISSURE*",""
"133C","0022","SGN CANL T/B / UCE","BR/W","","CBL$5064","NEWA3Z-0.35","730","XUCEH2&&AIRBA2","8200721409","756AA","27","101","2F","243469535R","","4501020609","E133C-B","L","E-05","3F","*EPISSURE*",""
